City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,irymple,-34.25,142.1667,25.05,36,100,3.36,AU,1699938171
1,yellowknife,62.456,-114.3525,-3.71,86,100,5.66,CA,1699938110
2,iqaluit,63.7506,-68.5145,-17.95,59,0,3.09,CA,1699938023
3,kushikino,31.7167,130.2667,16.71,56,10,3.41,JP,1699938171
4,puerto baquerizo moreno,-0.9,-89.6,23.72,82,91,4.46,EC,1699938171
5,chibougamau,49.9168,-74.3659,-5.21,93,100,3.09,CA,1699938172
6,georgetown,5.4112,100.3354,30.96,74,20,4.12,MY,1699938172
7,edinburgh of the seven seas,-37.0676,-12.3116,13.5,76,12,11.67,SH,1699938172
8,port-aux-francais,-49.35,70.2167,6.25,96,100,14.09,TF,1699938167
9,san antonio de pale,-1.4014,5.6325,26.15,79,18,3.23,GQ,1699938172
10,puerto natales,-51.7236,-72.4875,0.11,86,81,3.75,CL,1699938172
11,bengkulu,-3.8004,102.2655,27.33,83,90,3.09,ID,1699938173
12,hithadhoo,-0.6,73.0833,27.6,79,64,4.81,MV,1699938173
13,coahuayana de hidalgo,18.7,-103.6583,25.61,83,10,1.32,MX,1699938173
14,namibe,-15.1961,12.1522,22.2,70,93,2.0,AO,1699938173
15,margaret river,-33.95,115.0667,20.95,61,98,5.46,AU,1699938174
16,bamboo flat,11.7,92.7167,30.05,79,75,2.57,IN,1699938174
17,waitangi,-43.9535,-176.5597,16.01,86,15,1.79,NZ,1699938174
18,grytviken,-54.2811,-36.5092,1.59,98,100,3.22,GS,1699938174
19,bethel,41.3712,-73.414,4.79,81,30,1.71,US,1699938006
20,whitehorse,60.7161,-135.0538,-5.5,85,75,2.06,CA,1699938175
21,gadzhiyevo,69.2551,33.3362,-9.08,98,95,1.42,RU,1699938175
22,fort bragg,35.139,-79.006,10.46,86,0,0.0,US,1699938175
23,sokhumi,43.0033,41.0153,17.86,67,100,3.38,GE,1699938175
24,prince rupert,54.3161,-130.3201,7.05,67,75,5.14,CA,1699938051
25,vrangel',42.7297,133.0839,3.43,39,0,4.07,RU,1699938175
26,puerto santa,-8.9906,-78.6456,18.82,91,12,3.54,PE,1699938175
27,ancud,-41.8697,-73.8203,8.65,56,61,6.2,CL,1699938051
28,west island,-12.1568,96.8225,28.99,74,40,5.14,CC,1699938176
29,ust-nera,64.5667,143.2,-30.33,99,55,2.37,RU,1699938176
30,east london,-33.0153,27.9116,14.52,94,75,1.54,ZA,1699938176
31,magdagachi,53.45,125.8,-4.42,53,100,0.38,RU,1699938176
32,saint-philippe,-21.3585,55.7679,26.77,75,61,3.63,RE,1699938176
33,pubal,37.2917,127.5078,10.69,48,11,3.16,KR,1699938176
34,churapcha,62.0025,132.4325,-19.74,97,85,1.22,RU,1699938177
35,silway 7,6.1771,125.1207,33.03,55,20,3.6,PH,1699938177
36,codrington,-38.2667,141.9667,16.01,61,100,4.97,AU,1699938177
37,ugoofaaru,5.6667,73.0,27.31,77,63,1.65,MV,1699938177
38,isafjordur,66.0755,-23.124,1.39,84,42,3.1,IS,1699938177
39,hsinchu,24.8036,120.9686,21.59,78,95,1.34,TW,1699938177
40,lebanon,36.2081,-86.2911,11.92,68,75,0.0,US,1699937972
41,emerald,-23.5333,148.1667,35.75,24,0,3.01,AU,1699938178
42,adamstown,-25.066,-130.1015,22.91,87,100,7.91,PN,1699938178
